"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4745","Успешный логин","🖥 preprod","Mon Mar 30 14:11:32 UTC 2026","passed","Mon Mar 30 14:11:37 UTC 2026","TestLoginPositive","test_login","",""
"","3859","Оба поля пустые","🖥 preprod","Mon Mar 30 14:13:09 UTC 2026","passed","Mon Mar 30 14:13:13 UTC 2026","TestLoginEmptyFields","test_login","",""
"","3157","Чекбокс 'Запомнить меня' отображается","🖥 dev","Mon Mar 30 14:11:14 UTC 2026","passed","Mon Mar 30 14:11:17 UTC 2026","TestLoginUI","test_login","",""
"","4731","Пробелы после email","🖥 preprod","Mon Mar 30 14:12:25 UTC 2026","passed","Mon Mar 30 14:12:30 UTC 2026","TestLoginEmailSpaces","test_login","",""
"","4264","Неверный пароль","🖥 preprod","Mon Mar 30 14:13:13 UTC 2026","passed","Mon Mar 30 14:13:17 UTC 2026","TestLoginInvalidCredentials","test_login","",""
"","3869","Плейсхолдер пароля корректен","🖥 preprod","Mon Mar 30 14:11:24 UTC 2026","passed","Mon Mar 30 14:11:28 UTC 2026","TestLoginUI","test_login","",""
"","4086","Email без домена (user@)","🖥 preprod","Mon Mar 30 14:13:43 UTC 2026","passed","Mon Mar 30 14:13:47 UTC 2026","TestLoginEmailValidation","test_login","",""
"","3938","Tab из email переводит фокус на пароль","🖥 preprod","Mon Mar 30 14:14:32 UTC 2026","passed","Mon Mar 30 14:14:36 UTC 2026","TestLoginAccessibility","test_login","",""
"","4850","Enter в поле email отправляет форму","🖥 preprod","Mon Mar 30 14:14:07 UTC 2026","passed","Mon Mar 30 14:14:12 UTC 2026","TestLoginButton","test_login","",""
"","4736","Email с рандомным регистром (повтор для стабильности)","🖥 preprod","Mon Mar 30 14:12:16 UTC 2026","passed","Mon Mar 30 14:12:20 UTC 2026","TestLoginEmailCase","test_login","",""
"","4837","Пробелы с обеих сторон email","🖥 preprod","Mon Mar 30 14:12:30 UTC 2026","passed","Mon Mar 30 14:12:35 UTC 2026","TestLoginEmailSpaces","test_login","",""
"","3909","Повторный клик выключает чекбокс","🖥 preprod","Mon Mar 30 14:13:59 UTC 2026","passed","Mon Mar 30 14:14:03 UTC 2026","TestRememberMe","test_login","",""
"","4751","Вход с выключенным 'Запомнить меня'","🖥 preprod","Mon Mar 30 14:11:42 UTC 2026","passed","Mon Mar 30 14:11:46 UTC 2026","TestLoginPositive","test_login","",""
"","3992","Пробелы вместо логина","🖥 preprod","Mon Mar 30 14:13:22 UTC 2026","passed","Mon Mar 30 14:13:26 UTC 2026","TestLoginInvalidCredentials","test_login","",""
"","4989","Email с рандомным регистром букв","🖥 preprod","Mon Mar 30 14:12:01 UTC 2026","passed","Mon Mar 30 14:12:06 UTC 2026","TestLoginEmailCase","test_login","",""
"","3899","Клик включает чекбокс","🖥 preprod","Mon Mar 30 14:13:55 UTC 2026","passed","Mon Mar 30 14:13:59 UTC 2026","TestRememberMe","test_login","",""
"","4366","XSS в поле пароля","🖥 preprod","Mon Mar 30 14:14:28 UTC 2026","passed","Mon Mar 30 14:14:32 UTC 2026","TestLoginSecurity","test_login","",""
"","4436","Очень длинный email (500+ символов)","🖥 preprod","Mon Mar 30 14:13:30 UTC 2026","passed","Mon Mar 30 14:13:35 UTC 2026","TestLoginInvalidCredentials","test_login","",""
"","3218","Поле пароля отображается","🖥 dev","Mon Mar 30 14:11:11 UTC 2026","passed","Mon Mar 30 14:11:14 UTC 2026","TestLoginUI","test_login","",""
"","4779","Пробелы перед email","🖥 preprod","Mon Mar 30 14:12:21 UTC 2026","passed","Mon Mar 30 14:12:25 UTC 2026","TestLoginEmailSpaces","test_login","",""
