"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Вакансии","1","Валидация — Суммарный лимит текстовых полей","3","0","Пустые обязательные поля","0"
"0","Вакансии","3","Валидация — Название вакансии","2","0","Длина текста","0"
"0","Авторизация","0","UI — отображение элементов","7","0","","0"
"0","Вакансии","0","Кнопка 'Отмена'","2","0","","0"
"0","Авторизация","0","Позитивные сценарии","4","0","","0"
"0","Авторизация","0","Негативные — неверные credentials","6","0","","0"
"0","Авторизация","0","Негативные — пустые поля","3","0","","0"
"0","Вакансии","0","Модалка География","6","0","","0"
"0","Вакансии","0","UI — элементы формы создания","12","0","","0"
"0","Вакансии","0","Тоглы действий после диалога","4","0","","0"
"0","Вакансии","0","Модалка Гражданство","5","0","","0"
"0","Вакансии","2","Валидация — Недопустимые символы","6","0","","0"
"0","Вакансии","2","Валидация — Суммарный лимит текстовых полей","2","0","Граница max (9930 символов суммарно)","0"
"0","Вакансии","2","Модалка Специализации","2","0","","0"
"0","Вакансии","0","Навигация к созданию вакансии","4","0","","0"
"0","Вакансии","0","Модалка Отрасли","5","0","Функциональные","0"
"0","Вакансии","2","Валидация — Суммарный лимит текстовых полей","2","0","Граница min (150 символов суммарно)","0"
"0","Вакансии","0","Негативные — невалидные данные","6","0","","0"
"0","Вакансии","0","Модалка Отрасли","6","0","UI","0"
"0","Авторизация","0","Регистр email","6","0","","0"
"0","Авторизация","0","Пробелы в email","5","0","","0"
"0","Вакансии","1","Позитивные сценарии — создание вакансии","2","0","","0"
"0","Вакансии","0","Заполнение полей","8","0","","0"
"0","Авторизация","0","Кнопка 'Войти'","3","0","","0"
"0","Авторизация","0","Безопасность","4","0","","0"
"2","Вакансии","0","Формат работы — условные поля","4","0","","0"
"0","Авторизация","0","Чекбокс 'Запомнить меня'","3","0","","0"
"0","Авторизация","0","UX / Accessibility","4","0","","0"
"0","Вакансии","0","AI Ассистент","5","0","","0"
"0","Вакансии","0","Безопасность","3","0","","0"
"0","Вакансии","0","Валидация — Пробелы вместо текста","3","0","","0"
"0","Вакансии","0","Негативные — пустые обязательные поля","5","0","","0"
"0","Вакансии","3","E2E — Создание с модалками","0","0","","0"
"0","Вакансии","0","Валидация — Допустимые символы","4","0","","0"
"0","Авторизация","0","Сессия — запомнить меня","2","0","","0"
"0","Авторизация","0","HTML5 валидация email","3","0","","0"
"0","Вакансии","0","Табы на странице создания","4","0","","0"
