"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3684","Email с рандомным регистром (повтор для стабильности)","🖥 preprod","Mon Apr 13 18:42:21 UTC 2026","passed","Mon Apr 13 18:42:25 UTC 2026","TestLoginEmailCase","test_login","",""
"","2740","Поле пароля имеет label","🖥 preprod","Mon Apr 13 18:44:12 UTC 2026","passed","Mon Apr 13 18:44:15 UTC 2026","TestLoginAccessibility","test_login","",""
"","2863","Валидный email + пустой пароль","🖥 preprod","Mon Apr 13 18:43:04 UTC 2026","passed","Mon Apr 13 18:43:07 UTC 2026","TestLoginEmptyFields","test_login","",""
"","3187","Очень длинный пароль (1000+ символов)","🖥 preprod","Mon Apr 13 18:43:25 UTC 2026","passed","Mon Apr 13 18:43:28 UTC 2026","TestLoginInvalidCredentials","test_login","",""
"","3137","Спецсимволы в пароле","🖥 preprod","Mon Apr 13 18:44:00 UTC 2026","passed","Mon Apr 13 18:44:03 UTC 2026","TestLoginSecurity","test_login","",""
"","2784","Чекбокс выключен по умолчанию","🖥 preprod","Mon Apr 13 18:43:37 UTC 2026","passed","Mon Apr 13 18:43:40 UTC 2026","TestRememberMe","test_login","",""
"","2752","Tab из email переводит фокус на пароль","🖥 preprod","Mon Apr 13 18:44:07 UTC 2026","passed","Mon Apr 13 18:44:09 UTC 2026","TestLoginAccessibility","test_login","",""
"","3201","Неверный пароль","🖥 preprod","Mon Apr 13 18:43:10 UTC 2026","passed","Mon Apr 13 18:43:13 UTC 2026","TestLoginInvalidCredentials","test_login","",""
"","2988","Сообщение об ошибке читаемо скрин-ридером (role=status)","🖥 preprod","Mon Apr 13 18:44:15 UTC 2026","passed","Mon Apr 13 18:44:18 UTC 2026","TestLoginAccessibility","test_login","",""
"","2865","XSS в поле email","🖥 preprod","Mon Apr 13 18:43:57 UTC 2026","passed","Mon Apr 13 18:44:00 UTC 2026","TestLoginSecurity","test_login","",""
"","3358","Пробелы перед email","🖥 preprod","Mon Apr 13 18:42:32 UTC 2026","passed","Mon Apr 13 18:42:35 UTC 2026","TestLoginEmailSpaces","test_login","",""
"","3695","Email полностью в нижнем регистре","🖥 preprod","Mon Apr 13 18:42:14 UTC 2026","passed","Mon Apr 13 18:42:18 UTC 2026","TestLoginEmailCase","test_login","",""
"","2683","Кнопка активна","🖥 preprod","Mon Apr 13 18:43:45 UTC 2026","passed","Mon Apr 13 18:43:48 UTC 2026","TestLoginButton","test_login","",""
"","2987","Очень длинный email (500+ символов)","🖥 preprod","Mon Apr 13 18:43:22 UTC 2026","passed","Mon Apr 13 18:43:25 UTC 2026","TestLoginInvalidCredentials","test_login","",""
"","2779","Оба поля пустые","🖥 preprod","Mon Apr 13 18:43:07 UTC 2026","passed","Mon Apr 13 18:43:10 UTC 2026","TestLoginEmptyFields","test_login","",""
"","3157","Email с рандомным регистром (повтор для стабильности)","🖥 preprod","Mon Apr 13 18:42:25 UTC 2026","passed","Mon Apr 13 18:42:28 UTC 2026","TestLoginEmailCase","test_login","",""
"","3159","XSS в поле пароля","🖥 preprod","Mon Apr 13 18:44:04 UTC 2026","passed","Mon Apr 13 18:44:07 UTC 2026","TestLoginSecurity","test_login","",""
"","2803","Двойной клик — кнопка блокируется после отправки","🖥 preprod","Mon Apr 13 18:43:52 UTC 2026","passed","Mon Apr 13 18:43:55 UTC 2026","TestLoginButton","test_login","",""
