"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21034","Название: 1 символ (граница min)","🖥 prod","Tue Apr 28 17:43:35 UTC 2026","broken","Tue Apr 28 17:43:56 UTC 2026","TestTitleLength","test_vacancy_validation","",""
"","2857","Кнопка 'Войти' отображается","🖥 prod","Tue Apr 28 17:02:51 UTC 2026","passed","Tue Apr 28 17:02:54 UTC 2026","TestLoginUI","test_login","",""
"","31","TC-645.1: baseline — target=20, rowsPerPage=20, в таблице ровно 20 кандидатов","🖥 prod","Tue Apr 28 17:05:34 UTC 2026","passed","Tue Apr 28 17:05:34 UTC 2026","TestRelevancePaginationIndependence","test_search_relevance_pagination","",""
"","41","Гибрид — поле 'Город' появляется","🖥 prod","Tue Apr 28 17:40:16 UTC 2026","passed","Tue Apr 28 17:40:16 UTC 2026","TestWorkFormatConditionalFields","test_vacancy_modals","",""
"","34050","Суммарно ровно 9939 (только обязательные) — проходит","🖥 prod","Tue Apr 28 17:46:50 UTC 2026","broken","Tue Apr 28 17:47:24 UTC 2026","TestTotalTextMax","test_vacancy_validation","",""
"","414","Список гражданства не пустой","🖥 prod","Tue Apr 28 17:40:00 UTC 2026","passed","Tue Apr 28 17:40:01 UTC 2026","TestCitizenshipModal","test_vacancy_modals","",""
"","39","Удаленка — поле 'Город' НЕ появляется","🖥 prod","Tue Apr 28 17:40:08 UTC 2026","passed","Tue Apr 28 17:40:08 UTC 2026","TestWorkFormatConditionalFields","test_vacancy_modals","",""
"","0","TC-009.4: повторный экспорт после отмены работает корректно","🖥 prod","Tue Apr 28 17:36:19 UTC 2026","broken","Tue Apr 28 17:36:19 UTC 2026","TestHHExportModalsBasicFlow","test_vacancy_hh_export","",""
"","22490","География #1/10: случайное уникальное значение","🖥 prod","Tue Apr 28 17:21:00 UTC 2026","broken","Tue Apr 28 17:21:22 UTC 2026","TestGeographyDisplayOnDetailPage","test_vacancy_display","",""
"","67","Включение AI-скрининга","🖥 prod","Tue Apr 28 17:08:00 UTC 2026","passed","Tue Apr 28 17:08:00 UTC 2026","TestVacancyToggles","test_vacancy_create","",""
"","3337","Очень длинный email (500+ символов)","🖥 prod","Tue Apr 28 17:04:26 UTC 2026","passed","Tue Apr 28 17:04:29 UTC 2026","TestLoginInvalidCredentials","test_login","",""
"","3248","Ввод адреса работает","🖥 prod","Tue Apr 28 17:40:34 UTC 2026","passed","Tue Apr 28 17:40:38 UTC 2026","TestWorkFormatConditionalFields","test_vacancy_modals","",""
"","2886","Чекбокс выключен по умолчанию","🖥 prod","Tue Apr 28 17:04:42 UTC 2026","passed","Tue Apr 28 17:04:45 UTC 2026","TestRememberMe","test_login","",""
"","20840","Описание: только пробелы","🖥 prod","Tue Apr 28 17:48:59 UTC 2026","passed","Tue Apr 28 17:49:19 UTC 2026","TestWhitespaceOnly","test_vacancy_validation","",""
"","782","Создание без зарплаты 'до'","🖥 prod","Tue Apr 28 17:09:24 UTC 2026","passed","Tue Apr 28 17:09:25 UTC 2026","TestVacancyCreateEmptyRequired","test_vacancy_create","",""
"","2984","Email без домена (user@)","🖥 prod","Tue Apr 28 17:04:36 UTC 2026","passed","Tue Apr 28 17:04:39 UTC 2026","TestLoginEmailValidation","test_login","",""
"","3016","Email без @","🖥 prod","Tue Apr 28 17:04:33 UTC 2026","passed","Tue Apr 28 17:04:36 UTC 2026","TestLoginEmailValidation","test_login","",""
"","5002","Кнопка 'Создать вакансию' отображается","🖥 prod","Tue Apr 28 17:07:09 UTC 2026","skipped","Tue Apr 28 17:07:14 UTC 2026","TestVacancyCreateUI","test_vacancy_create","",""
"","3332","Вход с выключенным 'Запомнить меня'","🖥 prod","Tue Apr 28 17:03:07 UTC 2026","passed","Tue Apr 28 17:03:10 UTC 2026","TestLoginPositive","test_login","",""
"","21642","Отрасль #7/10: случайное уникальное значение","🖥 prod","Tue Apr 28 17:15:01 UTC 2026","broken","Tue Apr 28 17:15:23 UTC 2026","TestIndustryDisplayOnDetailPage","test_vacancy_display","",""
"","3719","Enter в поле email отправляет форму","🖥 prod","Tue Apr 28 17:04:54 UTC 2026","passed","Tue Apr 28 17:04:58 UTC 2026","TestLoginButton","test_login","",""
"","3888","Email с рандомным регистром букв","🖥 prod","Tue Apr 28 17:03:21 UTC 2026","passed","Tue Apr 28 17:03:25 UTC 2026","TestLoginEmailCase","test_login","",""
"","21572","Специализация #6/10: случайное уникальное значение","🖥 prod","Tue Apr 28 17:18:52 UTC 2026","broken","Tue Apr 28 17:19:13 UTC 2026","TestSpecializationDisplayOnDetailPage","test_vacancy_display","",""
"","22558","География #2/10: случайное уникальное значение","🖥 prod","Tue Apr 28 17:21:26 UTC 2026","broken","Tue Apr 28 17:21:49 UTC 2026","TestGeographyDisplayOnDetailPage","test_vacancy_display","",""
"","21628","Отрасль #2/10: случайное уникальное значение","🖥 prod","Tue Apr 28 17:12:53 UTC 2026","broken","Tue Apr 28 17:13:14 UTC 2026","TestIndustryDisplayOnDetailPage","test_vacancy_display","",""
"","21629","Отрасль #3/10: случайное уникальное значение","🖥 prod","Tue Apr 28 17:13:19 UTC 2026","broken","Tue Apr 28 17:13:40 UTC 2026","TestIndustryDisplayOnDetailPage","test_vacancy_display","",""
"","35","Название: <script> в поле ввода","🖥 prod","Tue Apr 28 17:50:01 UTC 2026","passed","Tue Apr 28 17:50:01 UTC 2026","TestForbiddenChars","test_vacancy_validation","",""
"","3900","Суммарно 9912 (с соц. пакетом) — тост ошибки","🖥 prod","Tue Apr 28 17:47:36 UTC 2026","passed","Tue Apr 28 17:47:40 UTC 2026","TestTotalTextMax","test_vacancy_validation","",""
