"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3261","Email с двойной точкой в домене","🖥 staging","Mon Mar 30 15:09:39 UTC 2026","passed","Mon Mar 30 15:09:42 UTC 2026","TestLoginEmailValidation","test_login","",""
"","3194","XSS в поле email","🖥 staging","Mon Mar 30 15:10:06 UTC 2026","passed","Mon Mar 30 15:10:09 UTC 2026","TestLoginSecurity","test_login","",""
"","3937","Email полностью в верхнем регистре","🖥 staging","Mon Mar 30 15:08:04 UTC 2026","passed","Mon Mar 30 15:08:08 UTC 2026","TestLoginEmailCase","test_login","",""
"","3104","Плейсхолдер пароля корректен","🖥 staging","Mon Mar 30 15:07:42 UTC 2026","passed","Mon Mar 30 15:07:45 UTC 2026","TestLoginUI","test_login","",""
"","3685","Несуществующий пользователь","🖥 staging","Mon Mar 30 15:09:15 UTC 2026","passed","Mon Mar 30 15:09:18 UTC 2026","TestLoginInvalidCredentials","test_login","",""
"","3180","Оба поля пустые","🖥 staging","Mon Mar 30 15:09:08 UTC 2026","passed","Mon Mar 30 15:09:11 UTC 2026","TestLoginEmptyFields","test_login","",""
"","3233","Email без @","🖥 staging","Mon Mar 30 15:09:32 UTC 2026","passed","Mon Mar 30 15:09:36 UTC 2026","TestLoginEmailValidation","test_login","",""
"","3902","Успешный логин","🖥 staging","Mon Mar 30 15:07:48 UTC 2026","passed","Mon Mar 30 15:07:52 UTC 2026","TestLoginPositive","test_login","",""
"","3080","Кнопка 'Войти' отображается","🖥 staging","Mon Mar 30 15:07:36 UTC 2026","passed","Mon Mar 30 15:07:39 UTC 2026","TestLoginUI","test_login","",""
"","3194","Поле пароля отображается","🖥 staging","Mon Mar 30 15:07:29 UTC 2026","passed","Mon Mar 30 15:07:33 UTC 2026","TestLoginUI","test_login","",""
"","3892","Enter в поле пароля отправляет форму","🖥 staging","Mon Mar 30 15:08:00 UTC 2026","passed","Mon Mar 30 15:08:04 UTC 2026","TestLoginPositive","test_login","",""
"","3123","Повторный клик выключает чекбокс","🖥 staging","Mon Mar 30 15:09:49 UTC 2026","passed","Mon Mar 30 15:09:52 UTC 2026","TestRememberMe","test_login","",""
"","3474","Пробелы вместо пароля","🖥 staging","Mon Mar 30 15:09:22 UTC 2026","passed","Mon Mar 30 15:09:25 UTC 2026","TestLoginInvalidCredentials","test_login","",""
"","3205","Двойной клик — кнопка блокируется после отправки","🖥 staging","Mon Mar 30 15:09:59 UTC 2026","passed","Mon Mar 30 15:10:02 UTC 2026","TestLoginButton","test_login","",""
"","3571","Пробелы после пароля","🖥 staging","Mon Mar 30 15:08:44 UTC 2026","passed","Mon Mar 30 15:08:48 UTC 2026","TestLoginEmailSpaces","test_login","",""
"","3895","Email с рандомным регистром букв","🖥 staging","Mon Mar 30 15:08:12 UTC 2026","passed","Mon Mar 30 15:08:16 UTC 2026","TestLoginEmailCase","test_login","",""
"","3174","Клик включает чекбокс","🖥 staging","Mon Mar 30 15:09:46 UTC 2026","passed","Mon Mar 30 15:09:49 UTC 2026","TestRememberMe","test_login","",""
"","3102","Плейсхолдер email корректен","🖥 staging","Mon Mar 30 15:07:39 UTC 2026","passed","Mon Mar 30 15:07:42 UTC 2026","TestLoginUI","test_login","",""
"","3984","Email полностью в нижнем регистре","🖥 staging","Mon Mar 30 15:08:08 UTC 2026","passed","Mon Mar 30 15:08:12 UTC 2026","TestLoginEmailCase","test_login","",""
"","3611","Неверный пароль","🖥 staging","Mon Mar 30 15:09:11 UTC 2026","passed","Mon Mar 30 15:09:15 UTC 2026","TestLoginInvalidCredentials","test_login","",""
"","3100","Кнопка активна","🖥 staging","Mon Mar 30 15:09:52 UTC 2026","passed","Mon Mar 30 15:09:55 UTC 2026","TestLoginButton","test_login","",""
"","3993","Вход с выключенным 'Запомнить меня'","🖥 staging","Mon Mar 30 15:07:56 UTC 2026","passed","Mon Mar 30 15:08:00 UTC 2026","TestLoginPositive","test_login","",""
"","4071","Пробелы перед email","🖥 staging","Mon Mar 30 15:08:28 UTC 2026","passed","Mon Mar 30 15:08:33 UTC 2026","TestLoginEmailSpaces","test_login","",""
"","3976","Email с рандомным регистром (повтор для стабильности)","🖥 staging","Mon Mar 30 15:08:16 UTC 2026","passed","Mon Mar 30 15:08:20 UTC 2026","TestLoginEmailCase","test_login","",""
"","3920","Пробелы с обеих сторон email","🖥 staging","Mon Mar 30 15:08:37 UTC 2026","passed","Mon Mar 30 15:08:41 UTC 2026","TestLoginEmailSpaces","test_login","",""
"","3497","Спецсимволы в пароле","🖥 staging","Mon Mar 30 15:10:09 UTC 2026","passed","Mon Mar 30 15:10:12 UTC 2026","TestLoginSecurity","test_login","",""
"","3602","XSS в поле пароля","🖥 staging","Mon Mar 30 15:10:13 UTC 2026","passed","Mon Mar 30 15:10:16 UTC 2026","TestLoginSecurity","test_login","",""
"","3116","Пароль скрыт (type=password)","🖥 staging","Mon Mar 30 15:07:45 UTC 2026","passed","Mon Mar 30 15:07:48 UTC 2026","TestLoginUI","test_login","",""
"","3498","Очень длинный email (500+ символов)","🖥 staging","Mon Mar 30 15:09:25 UTC 2026","passed","Mon Mar 30 15:09:29 UTC 2026","TestLoginInvalidCredentials","test_login","",""
"","3990","Enter в поле email отправляет форму","🖥 staging","Mon Mar 30 15:09:55 UTC 2026","passed","Mon Mar 30 15:09:59 UTC 2026","TestLoginButton","test_login","",""
"","3141","Чекбокс 'Запомнить меня' отображается","🖥 staging","Mon Mar 30 15:07:33 UTC 2026","passed","Mon Mar 30 15:07:36 UTC 2026","TestLoginUI","test_login","",""
"","6702","'Запомнить меня' ВЫКЛ → новая вкладка → сессия НЕ сохранена","🖥 staging","Mon Mar 30 15:08:55 UTC 2026","passed","Mon Mar 30 15:09:01 UTC 2026","TestLoginSession","test_login","",""
"","3330","Пробелы вместо логина","🖥 staging","Mon Mar 30 15:09:18 UTC 2026","passed","Mon Mar 30 15:09:22 UTC 2026","TestLoginInvalidCredentials","test_login","",""
"","3132","Валидный email + пустой пароль","🖥 staging","Mon Mar 30 15:09:05 UTC 2026","passed","Mon Mar 30 15:09:08 UTC 2026","TestLoginEmptyFields","test_login","",""
"","3077","Поле пароля имеет label","🖥 staging","Mon Mar 30 15:10:23 UTC 2026","passed","Mon Mar 30 15:10:26 UTC 2026","TestLoginAccessibility","test_login","",""
"","3118","Tab из email переводит фокус на пароль","🖥 staging","Mon Mar 30 15:10:16 UTC 2026","passed","Mon Mar 30 15:10:19 UTC 2026","TestLoginAccessibility","test_login","",""
"","3977","Вход с включённым 'Запомнить меня'","🖥 staging","Mon Mar 30 15:07:52 UTC 2026","passed","Mon Mar 30 15:07:56 UTC 2026","TestLoginPositive","test_login","",""
"","3368","Сообщение об ошибке читаемо скрин-ридером (role=status)","🖥 staging","Mon Mar 30 15:10:26 UTC 2026","passed","Mon Mar 30 15:10:29 UTC 2026","TestLoginAccessibility","test_login","",""
"","3163","Поле email имеет label","🖥 staging","Mon Mar 30 15:10:19 UTC 2026","passed","Mon Mar 30 15:10:23 UTC 2026","TestLoginAccessibility","test_login","",""
"","3385","Email без домена (user@)","🖥 staging","Mon Mar 30 15:09:36 UTC 2026","passed","Mon Mar 30 15:09:39 UTC 2026","TestLoginEmailValidation","test_login","",""
"","6561","'Запомнить меня' ВКЛ → новая вкладка → сессия сохранена","🖥 staging","Mon Mar 30 15:08:48 UTC 2026","passed","Mon Mar 30 15:08:54 UTC 2026","TestLoginSession","test_login","",""
"","3468","Пробелы перед паролем","🖥 staging","Mon Mar 30 15:08:41 UTC 2026","passed","Mon Mar 30 15:08:44 UTC 2026","TestLoginEmailSpaces","test_login","",""
"","3980","Email с рандомным регистром (повтор для стабильности)","🖥 staging","Mon Mar 30 15:08:24 UTC 2026","passed","Mon Mar 30 15:08:28 UTC 2026","TestLoginEmailCase","test_login","",""
"","3521","Очень длинный пароль (1000+ символов)","🖥 staging","Mon Mar 30 15:09:29 UTC 2026","passed","Mon Mar 30 15:09:32 UTC 2026","TestLoginInvalidCredentials","test_login","",""
"","3263","Пустой email + валидный пароль","🖥 staging","Mon Mar 30 15:09:01 UTC 2026","passed","Mon Mar 30 15:09:05 UTC 2026","TestLoginEmptyFields","test_login","",""
"","3239","SQL инъекция в email","🖥 staging","Mon Mar 30 15:10:02 UTC 2026","passed","Mon Mar 30 15:10:06 UTC 2026","TestLoginSecurity","test_login","",""
"","3067","Чекбокс выключен по умолчанию","🖥 staging","Mon Mar 30 15:09:42 UTC 2026","passed","Mon Mar 30 15:09:46 UTC 2026","TestRememberMe","test_login","",""
"","4000","Email с рандомным регистром (повтор для стабильности)","🖥 staging","Mon Mar 30 15:08:20 UTC 2026","passed","Mon Mar 30 15:08:24 UTC 2026","TestLoginEmailCase","test_login","",""
"","4173","Пробелы после email","🖥 staging","Mon Mar 30 15:08:33 UTC 2026","passed","Mon Mar 30 15:08:37 UTC 2026","TestLoginEmailSpaces","test_login","",""
"","3371","Поле email отображается","🖥 staging","Mon Mar 30 15:07:26 UTC 2026","passed","Mon Mar 30 15:07:29 UTC 2026","TestLoginUI","test_login","",""
